"","date","season","team","elo","playoff","teamyear","GAME"
"222",2015-12-20,2015,"ARI",1687.2880490459,0,"2015.ARI",14
"223",2015-12-27,2015,"ARI",1708.42677060149,0,"2015.ARI",15
"224",2016-01-03,2015,"ARI",1730.72919929768,0,"2015.ARI",16
"225",2016-09-11,2016,"ARI",1612.61322429379,0,"2016.ARI",1
"226",2016-09-18,2016,"ARI",1598.92757258315,0,"2016.ARI",2
"227",2016-09-25,2016,"ARI",1612.94969841038,0,"2016.ARI",3
"228",2016-10-02,2016,"ARI",1578.61841057421,0,"2016.ARI",4
"229",2016-10-06,2016,"ARI",1554.38730340133,0,"2016.ARI",5
"230",2016-10-17,2016,"ARI",1574.47330063367,0,"2016.ARI",6
"231",2016-10-23,2016,"ARI",1592.18699060564,0,"2016.ARI",7
"232",2016-10-30,2016,"ARI",1591.87285762898,0,"2016.ARI",8
"233",2016-11-13,2016,"ARI",1568.32053496325,0,"2016.ARI",9
"234",2016-11-20,2016,"ARI",1571.97687956398,0,"2016.ARI",10
"235",2016-11-27,2016,"ARI",1554.41954808248,0,"2016.ARI",11
"236",2016-12-04,2016,"ARI",1530.75786642504,0,"2016.ARI",12
"237",2016-12-11,2016,"ARI",1548.61837911307,0,"2016.ARI",13
"238",2016-12-18,2016,"ARI",1534.81829751881,0,"2016.ARI",14
"239",2016-12-24,2016,"ARI",1503.70727218243,0,"2016.ARI",15
"240",2017-01-01,2016,"ARI",1526.38595286868,0,"2016.ARI",16
"241",2002-09-08,2002,"ATL",1424.722,0,"2002.ATL",1
"242",2002-09-15,2002,"ATL",1419.562,0,"2002.ATL",2
"243",2002-09-22,2002,"ATL",1414.573,0,"2002.ATL",3
"244",2002-10-06,2002,"ATL",1435.65,0,"2002.ATL",4
"245",2002-10-13,2002,"ATL",1416.97,0,"2002.ATL",5
"246",2002-10-20,2002,"ATL",1448.242,0,"2002.ATL",6
"247",2002-10-27,2002,"ATL",1471.996,0,"2002.ATL",7
